"","id_id","litter_dry","plot_indicator","range_class","range_score"
"1","masouleh_EA1",3.42,"A1","Fair",51.3
"2","masouleh_EA1",4.104,"A2","Fair",50.6
"3","masouleh_EA1",4.446,"A3","Excellent",114
"4","masouleh_EA1",6.84,"A4","Excellent",104
"5","masouleh_EA1",5.814,"A5","Poor",49.7
"6","masouleh_EA1",11.97,"A6","Excellent",95.5
"7","masouleh_EA1",12.996,"A7","Excellent",97
"8","masouleh_EA1",11.628,"A8","Poor",36.2
"9","masouleh_EA1",1.026,"B1","Poor",43.8
"10","masouleh_EA1",10.944,"B2","Excellent",80.4
"11","masouleh_EA1",9.576,"B3","Excellent",83.6
"12","masouleh_EA1",6.84,"B4","Fair",59.7
"13","masouleh_EA1",8.55,"B5","Poor",46.9
"14","masouleh_EA1",10.26,"B6","Excellent",93.5
"15","masouleh_EA1",9.576,"B7","Fair",63.3
"16","masouleh_EA1",4.788,"B8","Good",71.8
"17","masouleh_EA1",11.97,"C1","Fair",57.6
"18","masouleh_EA1",16.416,"C2","Fair",55.2
"19","masouleh_EA1",17.1,"C3","Excellent",95.9
"20","masouleh_EA1",5.13,"C4","Fair",59.9
"21","masouleh_EA1",14.364,"C5","Poor",41.6
"22","masouleh_EA1",13.68,"C6","Good",75.7
"23","masouleh_EA1",16.416,"C7","Fair",55.9
"24","masouleh_EA1",11.97,"C8","Poor",48
"25","masouleh_EA1",15.39,"D1","Good",75
"26","masouleh_EA1",13.68,"D2","Fair",56.2
"27","masouleh_EA1",8.55,"D3","Fair",66
"28","masouleh_EA1",17.1,"D4","Excellent",85.5
"29","masouleh_EA1",13.68,"D5","Excellent",82.6
"30","masouleh_EA1",17.1,"D6","Good",78.5
"31","masouleh_EA1",15.39,"D7","Poor",47.1
"32","masouleh_EA1",8.55,"D8","Poor",46.3
"33","masouleh_EA1",13.68,"E1","Fair",66.7
"34","masouleh_EA1",13.68,"E2","Poor",42.8
"35","masouleh_EA1",15.39,"E3","Good",74.5
"36","masouleh_EA1",11.97,"E4","Excellent",94.3
"37","masouleh_EA1",17.1,"E5","Excellent",88.8
"38","masouleh_EA1",18.81,"E6","Good",76.1
"39","masouleh_EA1",13.68,"E7","Poor",39.3
"40","masouleh_EA1",17.1,"E8","Poor",40
"41","masouleh_EA1",15.39,"F1","Good",77.8
"42","masouleh_EA1",19.836,"F2","Good",72.5
"43","masouleh_EA1",8.55,"F3","Good",75.4
"44","masouleh_EA1",10.26,"F4","Excellent",91.2
"45","masouleh_EA1",17.1,"F5","Excellent",91.7
"46","masouleh_EA1",17.1,"F6","Good",79.8
"47","masouleh_EA1",16.416,"F7","Fair",56.5
"48","masouleh_EA1",20.52,"F8","Poor",47.9
"49","masouleh_EA1",15.39,"G1","Excellent",100
"50","masouleh_EA1",15.39,"G2","Poor",42.5
"51","masouleh_EA1",10.26,"G3","Excellent",98.3
"52","masouleh_EA1",8.55,"G4","Poor",47.6
"53","masouleh_EA1",8.55,"G5","Excellent",92.8
"54","masouleh_EA1",11.97,"G6","Excellent",94.2
"55","masouleh_EA1",5.13,"G7","Fair",68.3
"56","masouleh_EA1",2.394,"G8","Excellent",81.8
"57","masouleh_EA1",4.104,"H1","Fair",62.7
"58","masouleh_EA1",4.446,"H2","Fair",65.2
