"","acantholimon_aspadanum","acantholimon_scorpius","acanthophyllum_crassifolium","acantolimun_hohenacheri","achillea_filipendula","achillea_millefolium","agropyron_cristatum","agropyron_long","agropyron_repens","agropyrum_elongatum","agropyrun_intermedium","agropyrun_trichophorun","ajuga_reptans","alchemilla_surculosa","alchemillia_rigida","allium_aucheri","allium_colchicifolium","allium_vavilovii","alyssum_bracteatum","alyssum_hirsutum","alyssum_minus","anagallis_arvensis","androsace_maxima","anthemis_candidissima","anthemis_tinctoria","apium_graveolens","arenaria_insignis","artemisia_aucheri","artemisia_sieberi","asperula_arvensis","asperula_brachyantha","asperula_odorata","astragalus_aegobromus","astragalus_brachyodontus","astragalus_effuses","astragalus_glucacanthus","astragalus_grammocalyx","astragalus_microcephalus","astragalus_pinetorum","astragalus_pulchellus","astragalus_verus","bromus_briziformis","bromus_danthoniae","bromus_tectorum","bromus_tomentellus","bromus_tomentosus","bunium_kuhitangi","calamagrostis_pseudophragmites","capsella_bursa","carex_divulsa","carex_stenophylla","centaurea_aucheri","centaurea_elbursensis","centaurea_iljinii","centaurea_ovina","ceratocarpus_arenarius","chenopodium_botrys","cirisium_arvense","cirsium_bornmulleri","cirsium_bracteosum","cirsium_canum","convolvulus_commutatus","convolvulus_pseudocantabrica","cousinia_eryngioides","cousinia_gmelini","cousinia_habilitzlii","cousinia_iranica","cousinia_pinarocephala","cousinia_tenella","draba_aucheri","draba_siliquosa","echinops_chorassanicus","echium_italicum","ephedra_intermedia","ephorbia_bungei","erodium_cicutarium","erodium_gruinum","eryngium_bilardieri","eryngium_caucasicum","eryngium_pyramidale","euphorbia_humilis","eurotia_ceratoides","falcaria_falcarioides","falcaria_vulgaris","ferula_ovina","ferula_schtschurowskiana","festuca_arundinaceae","festuca_ovina","festuca_rubra","festuca_valesiaca","fibigia_suffruticosa","fragaria_vesca","geranim_dissectum","geranim_tuberosum","geranium_collinum","geranium_robertianum","glaucium_corniculatum","helianthemum_nummularium","heracleum_gorganicum","heracleum_persicum","heteranthelium_piliferum","hippocrepis_comosa","hordeum_bulbosom","hypericum_perforatum","hypericum_scabrum","ixiolirion_tataricum","koeleria_macrantha","koelpinia_tenuissima","lactuca_serriola","lamium_album","lepidium_aucheri","lepidium_ruderale","lithospermum_arvense","malva_neglecta","malva_parviflora","malva_rotundifolia","medicago_lupulina","medicago_minima","medicago_polymorpha","medicago_rigidula","mentha_spicata","myosotis_lithospermifolia","myosotis_palustris","myosotis_stricta","nepeta_betonicifolia","notoceras_bicorne","onobrychis_cornuta","onobrychis_michauxii","onobrychis_radiata","onopordon_heteracanthum","orobanche_purpurea","papaver_bracteatum","peganum_harmala","phalaris_arundinaceae","phleum_alpinum","phloem_montanum","phlomis_anisodonta","phlomis_cancellata","phlomis_olivieri","phlomis_oucheri","pimpinella_aurea","pimpinella_saxifraga","pimpinella_tragioides","pimpinella_tragium","plantago_atrata","plantago_lanceolata","plantago_ovata","poa_annua","poa_bulbosa","poa_pratensis","potentilia_recta","potentilla_gaubeana","potentilla_gilanica","potentilla_meyeri","potentilla_polyschista","potentilla_reptans","primula_algida","prunus_spinosa","ranunculus_buhsei","ranunculus_straussii","rheum_turkestanicum","rhinchochoris_elephants","rosa_persica","rumex_elbursnis","salvia_hypoleuca","sanguisorba_minor","scariola_arientalis","sedum_annuum","sedum_caespitosum","sedum_gracile","senecio_paucilobus","silene_aucheriana","silene_longipetala","silene_vulgaris","sisymbrium_altissimum","sisymbrium_officinale","sophora_alopecuroides","stachys_byzanthina","stachys_inflata","stachys_lavandulifolia","stachys_persica","stellaria_graminea","stellaria_media","stipa_barbata","stipa_lessingiana","taraxacum_montanum","taraxacum_serotinum","teucrium_macrum","teucrium_polium","thymus_fallax","thymus_kotschyanus","torilis_arvensis","traxacum_baltistannicum","trifolium_pratense","trifolium_repense","turgenia_latifolia","urtica_dioica","verbascum_cheiranthifolium","verbascum_haesarense","verbascum_phlomoides","verbascum_pulverulentum","verbascumflavidum_boiss","veronica_bozakmanii","veronica_intercedens","veronica_varna","vicia_ervilla","vicia_persica","vinca_herbacea","viola_oderata","ziziphora_clinopodioides","boissiera_squarrosa","cardaria_draba","dactylis_glomerata","galium_verum","lolium_perenne","tragopogon_montanus"
"1",0,0,0,0,0,17.9,0,0,0,0,5.307,3.721,0,0,5.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,2.527,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.247,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,0,0,0,0,0,5.765,0,0,0,0,0,0,0,0,0.612,1.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.567,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0.06,4.662,0
"2",0,0,0,0,0,7.292,0,0,0,0,0,0,0,0,20.54,0,0,0,0,0,0,0,0,0,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.479,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.99,9.48,0,0,0,1.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.399,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.529,0,3.108,0
"3",0,0,0,0,0,9.487,0,0,0,0,19.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.6,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.124,46.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,11.53,0,0,0,0,0,0,0,0,2.267,0.073,0,0,0,3.161,0,0,0,0,0,0,0,0,0,0,0,3.771,0,0,0,0,0,0,0,0,0,0,0,19.61,4.46,0,0,0,0,0,0,7.373,0,0,0,0,0,0,0,0,75.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26,0,1.554,0
"4",0,0,0,0,0,10.94,0,0,0,0,0,6.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,23.7,0,0,0,0,0,0,0,0,0,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,4.352,0,0,0,0,0,0,25.02,0,0,0,0,0,0,0,0,67.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.051,0,0,0
"5",0,0,0,0,0,13.21,0,0,0,0,9.829,0,0,0,0,0,0,0,0,0,0,0,0,0,2.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.494,4.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,0,0,0,0,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.125,0,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,4.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.247,50.03,0,0,0,0,0,0,0,0,0,0,0,28.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,1.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.095,0,0,0,0,0,0,0,0,67.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,48.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833,1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.15,0,0,0,0,0,0,0,0,1.389,0,0,0,0,0,0,0,0,4.267,0,1.034,0
"8",0,0,0,0,0,0,0,0,0,0,4.914,7.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41,0,0,0,0,0,0,0,0,0.567,1.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053,0,1.24,0
"9",0,0,0,0,0,7.411,0,0,0,0,5.1,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,37.9,0,0,0,0.023,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.422,2.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,0,0,0,0,0,2.883,0,0,0,0,0,0,0,0,0.588,4.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0,0,0,0,0,0,0,0,0,0,0,7.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.533,0,3.18,0.314
"10",0,0,0,0,0,0,0,0,0,0,9.829,0,0,0,5.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43,14.75,0,0,0,4.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.05,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,1.121,1.965,0,0,0,3.072,0,0,0,0,0,0,0,0,0,0,0,2.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0
