"","col","row","range_score","range_class","id_id"
"1","A","1",51.3,"Fair","masouleh_EA1"
"2","A","2",50.6,"Fair","masouleh_EA1"
"3","A","3",114,"Excellent","masouleh_EA1"
"4","A","4",104,"Excellent","masouleh_EA1"
"5","A","5",49.7,"Poor","masouleh_EA1"
"6","A","6",95.5,"Excellent","masouleh_EA1"
"7","A","7",97,"Excellent","masouleh_EA1"
"8","A","8",36.2,"Poor","masouleh_EA1"
"9","B","1",43.8,"Poor","masouleh_EA1"
"10","B","2",80.4,"Excellent","masouleh_EA1"
"11","B","3",83.6,"Excellent","masouleh_EA1"
"12","B","4",59.7,"Fair","masouleh_EA1"
"13","B","5",46.9,"Poor","masouleh_EA1"
"14","B","6",93.5,"Excellent","masouleh_EA1"
"15","B","7",63.3,"Fair","masouleh_EA1"
"16","B","8",71.8,"Good","masouleh_EA1"
"17","C","1",57.6,"Fair","masouleh_EA1"
"18","C","2",55.2,"Fair","masouleh_EA1"
"19","C","3",95.9,"Excellent","masouleh_EA1"
"20","C","4",59.9,"Fair","masouleh_EA1"
"21","C","5",41.6,"Poor","masouleh_EA1"
"22","C","6",75.7,"Good","masouleh_EA1"
"23","C","7",55.9,"Fair","masouleh_EA1"
"24","C","8",48,"Poor","masouleh_EA1"
"25","D","1",75,"Good","masouleh_EA1"
"26","D","2",56.2,"Fair","masouleh_EA1"
"27","D","3",66,"Fair","masouleh_EA1"
"28","D","4",85.5,"Excellent","masouleh_EA1"
"29","D","5",82.6,"Excellent","masouleh_EA1"
"30","D","6",78.5,"Good","masouleh_EA1"
"31","D","7",47.1,"Poor","masouleh_EA1"
"32","D","8",46.3,"Poor","masouleh_EA1"
"33","E","1",66.7,"Fair","masouleh_EA1"
"34","E","2",42.8,"Poor","masouleh_EA1"
"35","E","3",74.5,"Good","masouleh_EA1"
"36","E","4",94.3,"Excellent","masouleh_EA1"
"37","E","5",88.8,"Excellent","masouleh_EA1"
"38","E","6",76.1,"Good","masouleh_EA1"
"39","E","7",39.3,"Poor","masouleh_EA1"
"40","E","8",40,"Poor","masouleh_EA1"
"41","F","1",77.8,"Good","masouleh_EA1"
"42","F","2",72.5,"Good","masouleh_EA1"
"43","F","3",75.4,"Good","masouleh_EA1"
"44","F","4",91.2,"Excellent","masouleh_EA1"
"45","F","5",91.7,"Excellent","masouleh_EA1"
"46","F","6",79.8,"Good","masouleh_EA1"
"47","F","7",56.5,"Fair","masouleh_EA1"
"48","F","8",47.9,"Poor","masouleh_EA1"
"49","G","1",100,"Excellent","masouleh_EA1"
"50","G","2",42.5,"Poor","masouleh_EA1"
"51","G","3",98.3,"Excellent","masouleh_EA1"
"52","G","4",47.6,"Poor","masouleh_EA1"
"53","G","5",92.8,"Excellent","masouleh_EA1"
"54","G","6",94.2,"Excellent","masouleh_EA1"
"55","G","7",68.3,"Fair","masouleh_EA1"
"56","G","8",81.8,"Excellent","masouleh_EA1"
"57","H","1",62.7,"Fair","masouleh_EA1"
"58","H","2",65.2,"Fair","masouleh_EA1"
"59","H","3",89.4,"Excellent","masouleh_EA1"
"60","H","4",26.8,"Very Poor","masouleh_EA1"
"61","H","5",90.4,"Excellent","masouleh_EA1"
"62","H","6",82.2,"Excellent","masouleh_EA1"
"63","H","7",48.7,"Poor","masouleh_EA1"
"64","H","8",69.8,"Good","masouleh_EA1"
"65","A","1",59.6,"Fair","masouleh_EA2"
"66","A","2",61.8,"Fair","masouleh_EA2"
"67","A","3",64.5,"Fair","masouleh_EA2"
"68","A","4",68.8,"Fair","masouleh_EA2"
"69","A","5",76.3,"Good","masouleh_EA2"
"70","A","6",80.1,"Excellent","masouleh_EA2"
"71","A","7",85,"Excellent","masouleh_EA2"
"72","A","8",64.2,"Fair","masouleh_EA2"
